Ref,Val,Package,PosX,PosY,Rot,Side
"1K","R_0402_1005Metric","R_0402_1005Metric",15.000000,-20.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",182.990000,-84.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",15.000000,-28.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",62.990000,-44.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",87.000000,-28.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",38.990000,-76.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",230.990000,-108.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",143.000000,-28.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",54.990000,-36.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",230.990000,-44.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",15.000000,-76.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",46.990000,-12.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",62.990000,-84.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",174.990000,-92.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",199.000000,-60.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",15.000000,-92.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",246.990000,-68.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",7.000000,-60.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",87.000000,-44.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",246.990000,-4.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",135.000000,-28.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",207.000000,-100.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",207.000000,-60.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",166.990000,-108.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",215.000000,-4.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",30.990000,-68.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",207.000000,-12.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",71.000000,-52.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",38.990000,-44.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",190.990000,-44.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",254.990000,-100.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",254.990000,-124.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",135.000000,-60.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",158.990000,-36.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",71.000000,-76.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",71.000000,-124.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",79.000000,-28.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",215.000000,-100.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",102.990000,-68.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",38.990000,-100.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",207.000000,-28.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",118.990000,-4.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",222.990000,-20.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",38.990000,-124.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",118.990000,-52.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",126.990000,-92.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",110.990000,-124.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",238.990000,-76.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",254.990000,-84.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",46.990000,-116.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",15.000000,-36.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",110.990000,-52.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",230.990000,-92.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",143.000000,-4.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",190.990000,-68.500000,0.000000,top
"1K","R_0402_1005Metric","R_0402_1005Metric",254.990000,-52.500000,0.000000,top
